feature,label
"[-92.02349090576172, 120.19503784179688, -16.9647159576416, 6.286177158355713, -17.668542861938477, 13.23831844329834, -1.9658029079437256, 0.3433178961277008, 8.434075355529785, -3.086928606033325, 6.776041507720947, 7.581349849700928, -0.9160338044166565]",marah
"[-58.80647277832031, 98.57254791259766, -19.586181640625, 9.336045265197754, -33.25468444824219, 13.857612609863281, 3.7587695121765137, -0.09123903512954712, 9.404911041259766, 2.7059056758880615, 6.743289947509766, 9.30713176727295, 3.218398332595825]",marah
"[-105.21295928955078, 97.7630844116211, -9.566495895385742, 8.140170097351074, -29.11747169494629, 12.56489372253418, 1.3333158493041992, 1.626107931137085, 11.275273323059082, 0.4838719666004181, 5.172393321990967, 7.519037246704102, -0.7239436507225037]",marah
"[-105.05685424804688, 98.6698989868164, -12.348525047302246, -5.432261943817139, -26.646297454833984, 23.228166580200195, -0.6546741724014282, -4.929760456085205, 9.336663246154785, 8.110337257385254, 10.931713104248047, 8.545528411865234, -1.4485880136489868]",marah
"[-308.03607177734375, 8.825575828552246, -6.636255741119385, 24.02396583557129, 8.611847877502441, 15.986231803894043, 6.473777770996094, 3.6188817024230957, -5.178398609161377, 20.97879981994629, 6.201346397399902, -2.1220614910125732, 1.0595003366470337]",marah
"[-145.99095153808594, 113.74796295166016, -0.07489211857318878, -3.2763888835906982, -25.48186683654785, 21.906845092773438, 0.21341268718242645, -0.39223670959472656, 5.160452842712402, 7.180200099945068, 3.1483094692230225, 3.411318302154541, -0.3117084503173828]",marah
"[-145.37994384765625, 117.41117095947266, -4.129766941070557, -8.978742599487305, -23.33982276916504, 23.472497940063477, 2.255282402038574, 0.43197882175445557, 2.715684652328491, 4.126735687255859, 10.895844459533691, 7.325528144836426, 3.556140899658203]",marah
"[-101.81501770019531, 72.52857971191406, -19.539657592773438, -2.5608980655670166, -40.56470489501953, 4.271597385406494, 12.02401351928711, -3.342106819152832, 14.040699005126953, 0.6407310962677002, 7.246740341186523, 8.201737403869629, -4.481625556945801]",marah
"[-156.02835083007812, 94.94368743896484, 6.191149711608887, 7.5056281089782715, -29.795103073120117, 4.218276023864746, 6.97684907913208, -0.007859627716243267, 10.529613494873047, 6.718174934387207, 4.866344451904297, 2.0265207290649414, -7.168208122253418]",marah
"[-121.60259246826172, 92.77179718017578, 2.515082836151123, 5.623955249786377, -22.017473220825195, 15.044089317321777, -1.009780764579773, 5.2127509117126465, 7.196059703826904, 5.572666168212891, 3.602632522583008, 1.8235617876052856, -0.17642126977443695]",marah
